sid,basin,sphere,season,year,month,day,hour,lat,lon,lmi,sshs,occurtime
1851175N26270,NA,NH,1851,1851,6,25,0,28.0,-94.8,80,1,175.0
1851228N13313,NA,NH,1851,1851,8,23,0,27.4,-86.5,100,3,234.0
1851256N33287,NA,NH,1851,1851,9,13,0,32.5,-73.5,50,0,255.0
1851289N29282,NA,NH,1851,1851,10,17,0,30.7,-76.6,60,0,289.0
1852232N21293,NA,NH,1852,1852,8,24,0,26.7,-86.0,100,3,236.0
1852247N14309,NA,NH,1852,1852,9,9,0,26.4,-90.4,70,1,252.0
1852249N17296,NA,NH,1852,1852,9,5,0,17.0,-64.1,70,1,248.0
1852264N13309,NA,NH,1852,1852,9,25,0,19.5,-67.4,80,1,268.0
1852278N14293,NA,NH,1852,1852,10,6,0,17.0,-73.8,90,2,279.0
1853242N12336,NA,NH,1853,1853,9,3,6,19.1,-54.6,130,4,245.25
1853251N37307,NA,NH,1853,1853,9,8,0,37.0,-53.0,100,3,250.0
1853269N26298,NA,NH,1853,1853,9,27,12,36.0,-59.8,70,1,269.5
1853291N32280,NA,NH,1853,1853,10,20,12,30.0,-80.5,90,2,292.5
1854176N26268,NA,NH,1854,1854,6,25,12,26.0,-93.5,70,1,175.5
1854246N25300,NA,NH,1854,1854,9,7,0,26.4,-76.6,110,3,249.0
1854259N24266,NA,NH,1854,1854,9,18,0,28.2,-93.6,90,2,260.0
1854293N25292,NA,NH,1854,1854,10,21,0,28.6,-67.3,60,0,293.0
1855222N44318,NA,NH,1855,1855,8,10,0,44.0,-42.0,90,2,221.0
1855236N12304,NA,NH,1855,1855,8,25,0,12.8,-60.7,60,0,236.0
1855252N20274,NA,NH,1855,1855,9,16,0,28.8,-89.5,110,3,258.0
1856221N25277,NA,NH,1856,1856,8,10,12,28.7,-90.5,130,4,222.5
1856226N11308,NA,NH,1856,1856,8,13,0,12.1,-56.1,70,1,225.0
1856232N33285,NA,NH,1856,1856,8,19,0,32.5,-75.5,50,0,231.0
1856235N13302,NA,NH,1856,1856,8,30,0,25.2,-87.1,100,3,242.0
1856254N09333,NA,NH,1856,1856,9,19,12,35.6,-51.0,70,1,262.5
1857181N34286,NA,NH,1857,1857,6,30,0,34.0,-74.5,50,0,180.0
1857249N27286,NA,NH,1857,1857,9,11,0,31.2,-77.4,90,2,253.0
1857265N33287,NA,NH,1857,1857,9,22,0,32.5,-73.5,70,1,264.0
1857267N16305,NA,NH,1857,1857,9,28,0,19.0,-82.9,90,2,270.0
1858254N21273,NA,NH,1858,1858,9,15,18,32.4,-77.3,90,2,257.75
1858260N18319,NA,NH,1858,1858,9,17,0,18.4,-41.4,80,1,259.0
1858266N22286,NA,NH,1858,1858,9,24,12,33.3,-73.8,80,1,266.5
1858291N21287,NA,NH,1858,1858,10,24,0,31.0,-66.3,90,2,296.0
1859224N28287,NA,NH,1859,1859,8,17,0,38.5,-67.0,90,2,228.0
1859245N17300,NA,NH,1859,1859,9,2,0,17.3,-59.7,70,1,244.0
1859249N11324,NA,NH,1859,1859,9,12,6,35.5,-57.5,90,2,254.25
1859253N21275,NA,NH,1859,1859,9,15,0,28.0,-89.0,70,1,257.0
1859273N17289,NA,NH,1859,1859,10,4,12,28.8,-72.0,110,3,276.5
1859289N25285,NA,NH,1859,1859,10,16,0,25.1,-75.1,60,0,288.0
1859297N20267,NA,NH,1859,1859,10,26,18,22.0,-92.5,80,1,298.75
1860221N28276,NA,NH,1860,1860,8,11,12,28.4,-90.3,110,3,223.5
1860237N28283,NA,NH,1860,1860,8,25,12,35.8,-72.1,90,2,237.5
1860252N18284,NA,NH,1860,1860,9,11,0,25.1,-83.8,90,2,254.0
1860262N22294,NA,NH,1860,1860,9,19,12,26.0,-70.0,60,0,262.5
1860269N20266,NA,NH,1860,1860,10,2,6,27.6,-91.9,90,2,275.25
1860289N14290,NA,NH,1860,1860,10,23,0,30.8,-72.9,90,2,296.0
1861185N15303,NA,NH,1861,1861,7,10,12,28.7,-70.0,90,2,190.5
1861226N21290,NA,NH,1861,1861,8,15,0,23.2,-78.7,80,1,226.0
1861237N35296,NA,NH,1861,1861,8,29,0,42.5,-44.7,90,2,240.0
1861270N29283,NA,NH,1861,1861,9,27,6,28.5,-77.5,70,1,269.25
1861279N20314,NA,NH,1861,1861,10,6,0,20.0,-46.0,60,0,278.0
1861305N26278,NA,NH,1861,1861,11,2,0,31.2,-78.6,70,1,305.0
1862166N32284,NA,NH,1862,1862,6,15,0,32.0,-75.6,50,0,165.0
1862229N24294,NA,NH,1862,1862,8,18,0,28.8,-71.5,90,2,229.0
1862251N15325,NA,NH,1862,1862,9,15,0,26.6,-69.0,90,2,257.0
1862287N33290,NA,NH,1862,1862,10,14,0,33.0,-69.6,70,1,286.0
1862326N11280,NA,NH,1862,1862,11,22,0,10.5,-79.5,60,0,325.0
1863220N38309,NA,NH,1863,1863,8,8,0,37.7,-50.8,90,2,219.0
1863230N39302,NA,NH,1863,1863,8,18,0,39.4,-58.5,90,2,229.0
1863231N27293,NA,NH,1863,1863,8,20,12,30.5,-72.6,90,2,231.5
1863239N31281,NA,NH,1863,1863,8,27,0,29.5,-75.5,90,2,238.0
1863248N11308,NA,NH,1863,1863,9,9,12,20.2,-62.0,70,1,251.5
1863255N15300,NA,NH,1863,1863,9,17,0,27.0,-79.4,60,0,259.0
1863262N23264,NA,NH,1863,1863,9,18,12,22.5,-96.5,50,0,260.5
1863270N21267,NA,NH,1863,1863,9,29,0,28.5,-95.7,60,0,271.0
1863270N31290,NA,NH,1863,1863,9,26,12,31.1,-70.1,50,0,268.5
1864197N35285,NA,NH,1864,1864,7,16,0,30.8,-76.0,70,1,197.0
1864239N15306,NA,NH,1864,1864,8,26,0,14.8,-54.5,70,1,238.0
1864249N33288,NA,NH,1864,1864,9,5,0,33.0,-72.5,50,0,248.0
1864296N29288,NA,NH,1864,1864,10,23,12,35.5,-72.5,70,1,296.5
1865232N30282,NA,NH,1865,1865,8,22,12,34.0,-75.0,60,0,233.5
1865247N13318,NA,NH,1865,1865,9,6,0,16.0,-55.5,90,2,248.0
1865287N11303,NA,NH,1865,1865,10,22,12,20.0,-83.0,90,2,294.5
1866193N27271,NA,NH,1866,1866,7,11,12,28.0,-87.3,90,2,191.5
1866225N14298,NA,NH,1866,1866,8,13,0,14.7,-62.6,90,2,224.0
1866247N33292,NA,NH,1866,1866,9,4,0,33.0,-68.1,70,1,246.0
1866263N36292,NA,NH,1866,1866,9,22,0,40.0,-62.5,90,2,264.0
1866264N11342,NA,NH,1866,1866,10,1,12,22.5,-75.0,120,4,273.5
1866302N33285,NA,NH,1866,1866,10,29,18,33.7,-75.4,60,0,301.75
1867172N28280,NA,NH,1867,1867,6,22,6,31.8,-79.9,70,1,172.25
1867209N18303,NA,NH,1867,1867,8,1,12,32.0,-76.5,90,2,212.5
1867243N31288,NA,NH,1867,1867,8,31,0,30.8,-71.6,70,1,242.0
1867268N18278,NA,NH,1867,1867,10,2,0,23.5,-96.5,90,2,274.0
1867272N30286,NA,NH,1867,1867,9,30,12,35.0,-73.6,90,2,272.5
1867300N19310,NA,NH,1867,1867,10,29,12,18.6,-63.3,110,3,301.5
1868240N16327,NA,NH,1868,1868,9,6,0,39.2,-65.0,90,2,249.0
1868275N27265,NA,NH,1868,1868,10,7,12,44.0,-57.5,70,-4,280.5
1868278N14280,NA,NH,1868,1868,10,5,0,17.0,-80.6,90,2,278.0
1868289N26287,NA,NH,1868,1868,10,17,0,33.5,-70.6,90,2,290.0
1869224N41313,NA,NH,1869,1869,8,12,0,40.5,-47.5,90,2,223.0
1869226N20276,NA,NH,1869,1869,8,16,0,27.0,-91.6,90,2,227.0
1869239N33313,NA,NH,1869,1869,8,27,0,32.7,-46.7,70,1,238.0
1869244N28287,NA,NH,1869,1869,9,2,0,30.3,-69.0,60,0,244.0
1869245N20288,NA,NH,1869,1869,9,8,0,31.3,-74.0,100,3,250.0
1869247N26271,NA,NH,1869,1869,9,4,0,26.2,-88.4,70,1,246.0
1869253N10328,NA,NH,1869,1869,9,12,12,13.6,-45.5,90,2,254.5
1869270N18308,NA,NH,1869,1869,10,4,0,31.5,-75.5,90,2,276.0
1870238N14310,NA,NH,1870,1870,9,2,0,31.1,-69.5,90,2,244.0
1870242N13338,NA,NH,1870,1870,9,11,0,35.4,-64.1,110,3,253.0
1870260N30292,NA,NH,1870,1870,9,17,0,30.2,-68.1,80,1,259.0
1870278N18286,NA,NH,1870,1870,10,7,12,22.1,-81.6,100,3,279.5
1870280N10331,NA,NH,1870,1870,10,7,12,12.0,-35.0,70,1,279.5
1870290N15279,NA,NH,1870,1870,10,19,0,19.5,-84.1,90,2,291.0
1870300N14283,NA,NH,1870,1870,10,31,0,17.4,-86.4,70,1,303.0
1871152N24279,NA,NH,1871,1871,6,2,0,25.2,-85.4,50,0,152.0
1871224N26291,NA,NH,1871,1871,8,15,12,26.8,-76.7,100,3,226.5
1871229N11329,NA,NH,1871,1871,8,21,0,16.4,-60.0,100,3,232.0
1871239N24298,NA,NH,1871,1871,8,30,0,26.7,-65.6,90,2,241.0
1871247N28277,NA,NH,1871,1871,9,5,0,26.0,-90.1,70,1,247.0
1871271N19269,NA,NH,1871,1871,10,2,0,25.9,-95.4,70,1,274.0
1871283N23302,NA,NH,1871,1871,10,10,0,22.7,-58.0,70,1,282.0
1872191N25268,NA,NH,1872,1872,7,10,0,25.7,-90.8,50,0,191.0
1872233N14334,NA,NH,1872,1872,8,29,0,27.9,-61.8,90,2,241.0
1872253N13301,NA,NH,1872,1872,9,12,0,21.6,-63.8,70,1,255.0
1872274N13328,NA,NH,1872,1872,10,3,0,22.0,-43.8,70,1,276.0
1872296N23271,NA,NH,1872,1872,10,24,12,32.6,-78.2,70,1,297.5
1873152N24281,NA,NH,1873,1873,6,1,6,24.2,-78.8,40,0,151.25
1873225N14335,NA,NH,1873,1873,8,23,0,35.2,-68.0,100,3,234.0
1873256N13296,NA,NH,1873,1873,9,18,0,22.7,-89.9,70,1,260.0
1873265N22274,NA,NH,1873,1873,9,23,0,26.0,-84.1,50,0,265.0
1873269N13303,NA,NH,1873,1873,9,28,12,18.0,-73.0,100,3,270.5
1874183N26275,NA,NH,1874,1874,7,3,0,27.4,-88.3,50,0,183.0
1874215N25306,NA,NH,1874,1874,8,5,0,33.5,-60.3,70,1,216.0
1874241N14326,NA,NH,1874,1874,9,6,0,32.3,-65.6,80,1,248.0
1874245N20265,NA,NH,1874,1874,9,4,0,23.9,-97.1,50,0,246.0
1874251N26289,NA,NH,1874,1874,9,8,0,25.8,-70.6,50,0,250.0
1874268N18274,NA,NH,1874,1874,9,28,18,32.8,-80.0,80,1,270.75
1874304N14283,NA,NH,1874,1874,11,2,0,17.7,-77.2,90,2,305.0
1875228N31284,NA,NH,1875,1875,8,16,0,29.5,-74.5,70,1,227.0
1875243N14330,NA,NH,1875,1875,9,3,0,13.4,-47.5,70,1,245.0
1875246N12333,NA,NH,1875,1875,9,16,12,27.1,-96.1,100,3,258.5
1875267N23267,NA,NH,1875,1875,9,25,0,26.3,-95.1,50,0,267.0
1875280N24292,NA,NH,1875,1875,10,8,0,26.5,-69.4,90,2,280.0
1875285N27285,NA,NH,1875,1875,10,14,0,31.9,-74.8,70,1,286.0
1876253N39299,NA,NH,1876,1876,9,9,0,39.0,-60.8,80,1,252.0
1876254N15320,NA,NH,1876,1876,9,13,0,18.0,-63.4,100,3,256.0
1876260N19302,NA,NH,1876,1876,9,16,0,19.0,-57.8,50,0,259.0
1876273N14301,NA,NH,1876,1876,10,3,0,12.5,-80.3,90,2,276.0
1876285N11279,NA,NH,1876,1876,10,19,0,21.7,-81.9,100,3,292.0
1877213N23288,NA,NH,1877,1877,8,2,0,26.1,-75.9,60,0,213.0
1877257N22268,NA,NH,1877,1877,9,17,0,27.8,-95.1,70,1,259.0
1877259N26310,NA,NH,1877,1877,9,16,0,25.5,-50.5,70,1,258.0
1877260N17327,NA,NH,1877,1877,10,3,0,29.5,-85.9,100,3,275.0
1877267N21292,NA,NH,1877,1877,9,28,0,30.1,-78.4,50,0,270.0
1877286N27312,NA,NH,1877,1877,10,13,0,27.0,-48.0,50,0,285.0
1877297N25266,NA,NH,1877,1877,10,27,6,30.1,-79.0,50,0,299.25
1877332N23284,NA,NH,1877,1877,11,29,0,31.5,-73.5,50,0,332.0
1878182N25273,NA,NH,1878,1878,7,1,0,25.4,-87.3,40,0,181.0
1878220N15300,NA,NH,1878,1878,8,15,0,22.0,-86.1,70,1,226.0
1878229N32286,NA,NH,1878,1878,8,19,0,35.5,-60.5,80,1,230.0
1878236N25280,NA,NH,1878,1878,8,28,0,32.5,-67.5,90,2,239.0
1878244N09306,NA,NH,1878,1878,9,10,6,28.3,-83.0,90,2,252.25
1878253N14324,NA,NH,1878,1878,9,15,12,20.0,-57.9,90,2,257.5
1878267N15288,NA,NH,1878,1878,10,3,0,29.3,-72.6,120,4,275.0
1878282N11326,NA,NH,1878,1878,10,12,0,20.9,-48.8,70,1,284.0
1878282N24269,NA,NH,1878,1878,10,12,0,34.5,-75.0,70,1,284.0
1878283N18342,NA,NH,1878,1878,10,17,0,21.6,-51.4,100,3,289.0
1878287N19283,NA,NH,1878,1878,10,21,0,21.9,-82.4,90,2,293.0
1878329N15310,NA,NH,1878,1878,11,27,0,16.9,-57.5,60,0,330.0
1879220N31284,NA,NH,1879,1879,8,11,0,39.0,-67.5,70,1,222.0
1879225N13302,NA,NH,1879,1879,8,18,0,31.2,-78.4,100,3,229.0
1879231N17279,NA,NH,1879,1879,8,22,12,27.1,-94.0,90,2,233.5
1879241N24272,NA,NH,1879,1879,9,1,0,27.8,-91.7,110,3,243.0
1879276N15282,NA,NH,1879,1879,10,6,0,24.4,-86.9,50,0,278.0
1879282N14304,NA,NH,1879,1879,10,11,12,16.0,-72.0,50,0,283.5
1879297N20275,NA,NH,1879,1879,10,29,0,40.0,-69.1,70,1,301.0
1879322N22287,NA,NH,1879,1879,11,20,0,33.5,-72.0,90,2,323.0
1880173N27274,NA,NH,1880,1880,6,21,0,26.7,-86.5,40,0,172.0
1880217N16300,NA,NH,1880,1880,8,13,0,25.7,-96.9,130,4,225.0
1880228N14301,NA,NH,1880,1880,8,19,0,17.6,-76.6,80,1,231.0
1880230N15342,NA,NH,1880,1880,8,27,0,27.1,-70.9,90,2,239.0
1880235N13333,NA,NH,1880,1880,8,30,12,33.0,-64.4,80,1,242.5
1880248N22283,NA,NH,1880,1880,9,8,0,32.0,-73.5,80,1,251.0
1880250N24271,NA,NH,1880,1880,9,9,6,33.5,-78.1,70,1,252.25
1880271N23317,NA,NH,1880,1880,10,1,12,27.0,-62.0,120,4,274.5
1880279N18275,NA,NH,1880,1880,10,8,0,26.3,-85.3,70,1,281.0
1880284N24295,NA,NH,1880,1880,10,12,0,26.5,-66.1,80,1,285.0
1880295N27285,NA,NH,1880,1880,10,23,0,37.5,-71.8,60,0,296.0
1881213N23275,NA,NH,1881,1881,8,3,0,28.5,-87.8,50,0,214.0
1881223N16329,NA,NH,1881,1881,8,11,0,16.0,-31.0,80,1,222.0
1881224N26271,NA,NH,1881,1881,8,11,12,25.6,-88.7,40,0,222.5
1881228N20273,NA,NH,1881,1881,8,19,12,34.5,-69.5,70,1,230.5
1881233N17303,NA,NH,1881,1881,8,26,18,28.6,-78.6,90,2,237.75
1881247N13306,NA,NH,1881,1881,9,9,0,32.0,-76.5,90,2,251.0
1881261N35292,NA,NH,1881,1881,9,19,18,41.7,-60.2,60,0,261.75
1882236N38308,NA,NH,1882,1882,8,24,6,37.5,-52.0,70,1,235.25
1882244N19296,NA,NH,1882,1882,9,10,0,30.0,-87.1,110,3,252.0
1882255N19269,NA,NH,1882,1882,9,15,0,29.4,-93.0,50,0,257.0
1882264N29283,NA,NH,1882,1882,9,22,12,33.0,-77.5,50,0,264.5
1882267N30283,NA,NH,1882,1882,9,25,12,32.5,-75.0,70,1,267.5
1882278N11279,NA,NH,1882,1882,10,9,0,21.2,-83.7,120,4,281.0
1883230N19312,NA,NH,1883,1883,8,25,0,36.9,-65.3,80,1,236.0
1883233N12318,NA,NH,1883,1883,8,28,12,33.0,-68.6,110,3,239.5
1883247N14302,NA,NH,1883,1883,9,4,0,14.0,-57.9,110,3,246.0
1883295N28282,NA,NH,1883,1883,10,27,0,45.7,-40.4,70,-4,299.0
1884242N29294,NA,NH,1884,1884,9,1,0,38.5,-62.5,70,1,244.0
1884247N15324,NA,NH,1884,1884,9,7,0,21.1,-57.5,100,3,250.0
1884253N27282,NA,NH,1884,1884,9,17,0,28.1,-75.1,80,1,260.0
1884280N12281,NA,NH,1884,1884,10,14,0,25.7,-75.0,90,2,287.0
1885212N12337,NA,NH,1885,1885,8,10,18,43.4,-53.4,80,1,221.75
1885233N21293,NA,NH,1885,1885,8,24,18,29.4,-80.6,90,2,235.75
1885241N25267,NA,NH,1885,1885,8,30,0,28.1,-91.6,50,0,241.0
1885260N22265,NA,NH,1885,1885,9,23,0,39.8,-70.5,80,1,265.0
1885261N14307,NA,NH,1885,1885,9,23,6,42.3,-68.8,80,1,265.25
1885269N24304,NA,NH,1885,1885,9,29,12,39.7,-61.0,80,1,271.5
1885283N23274,NA,NH,1885,1885,10,11,12,27.3,-84.0,60,0,283.5
1886158N18285,NA,NH,1886,1886,6,14,18,29.9,-94.0,85,2,164.75
1886168N19275,NA,NH,1886,1886,6,20,0,24.3,-84.9,85,2,170.0
1886178N17286,NA,NH,1886,1886,6,30,0,25.6,-86.4,85,2,180.0
1886195N19277,NA,NH,1886,1886,7,20,6,33.9,-72.6,75,1,200.25
1886224N11303,NA,NH,1886,1886,8,20,6,27.4,-95.6,130,4,231.25
1886225N13320,NA,NH,1886,1886,8,21,12,21.0,-79.0,105,3,232.5
1886226N15336,NA,NH,1886,1886,8,21,18,33.8,-62.4,100,3,232.75
1886259N21295,NA,NH,1886,1886,9,21,0,22.3,-92.1,85,2,263.0
1886263N18298,NA,NH,1886,1886,9,24,6,25.2,-65.7,85,2,266.25
1886277N14279,NA,NH,1886,1886,10,12,0,27.9,-90.3,105,3,284.0
1886283N29300,NA,NH,1886,1886,10,13,0,33.1,-57.1,45,0,285.0
1886294N14283,NA,NH,1886,1886,10,23,18,24.4,-67.5,60,0,295.75
1887135N29296,NA,NH,1887,1887,5,16,18,32.7,-66.3,60,0,135.75
1887137N16283,NA,NH,1887,1887,5,18,12,18.9,-78.7,50,0,137.5
1887162N20274,NA,NH,1887,1887,6,12,6,22.7,-85.9,35,0,162.25
1887201N12302,NA,NH,1887,1887,7,22,12,14.2,-71.4,85,2,202.5
1887211N10310,NA,NH,1887,1887,8,2,18,13.6,-62.3,50,0,213.75
1887226N14328,NA,NH,1887,1887,8,22,6,26.6,-77.8,110,3,233.25
1887226N16302,NA,NH,1887,1887,8,20,6,33.6,-76.7,105,3,231.25
1887241N12323,NA,NH,1887,1887,9,3,6,38.8,-56.4,90,2,245.25
1887255N13303,NA,NH,1887,1887,9,14,0,14.2,-67.8,85,2,256.0
1887255N14316,NA,NH,1887,1887,9,16,18,35.4,-55.1,70,1,258.75
1887280N18289,NA,NH,1887,1887,10,8,12,21.7,-74.3,60,0,280.5
1887280N20275,NA,NH,1887,1887,10,7,0,19.7,-87.3,50,0,279.0
1887282N19300,NA,NH,1887,1887,10,12,12,20.0,-78.7,75,1,284.5
1887283N28321,NA,NH,1887,1887,10,11,6,32.5,-40.1,75,1,283.25
1887289N14312,NA,NH,1887,1887,10,16,12,17.0,-52.0,90,2,288.5
1887303N27274,NA,NH,1887,1887,11,1,6,36.5,-70.3,70,-4,304.25
1887332N22293,NA,NH,1887,1887,11,29,12,23.7,-73.5,70,1,332.5
1887339N19306,NA,NH,1887,1887,12,7,6,34.0,-55.6,70,1,340.25
1887341N13302,NA,NH,1887,1887,12,9,6,13.2,-66.8,50,0,342.25
1888168N28267,NA,NH,1888,1888,6,17,0,28.4,-95.3,70,1,168.0
1888187N26266,NA,NH,1888,1888,7,5,0,27.0,-95.1,50,0,186.0
1888228N23289,NA,NH,1888,1888,8,16,12,25.3,-79.0,110,3,228.5
1888239N13328,NA,NH,1888,1888,9,3,18,22.3,-75.9,110,3,246.75
1888250N24288,NA,NH,1888,1888,9,9,6,29.2,-82.9,50,0,252.25
1888268N24279,NA,NH,1888,1888,9,26,6,38.9,-71.9,70,1,269.25
1888283N22267,NA,NH,1888,1888,10,10,18,27.7,-84.6,95,2,283.75
1888306N12300,NA,NH,1888,1888,11,4,12,24.5,-59.7,50,0,308.5
1888322N23305,NA,NH,1888,1888,11,23,6,30.1,-74.2,85,2,327.25
1889136N19292,NA,NH,1889,1889,5,20,18,32.8,-74.1,70,1,139.75
1889166N20276,NA,NH,1889,1889,6,15,18,22.0,-84.6,65,1,165.75
1889231N17291,NA,NH,1889,1889,8,27,0,35.9,-71.7,70,1,238.0
1889244N12305,NA,NH,1889,1889,9,3,12,18.0,-64.0,90,2,245.5
1889245N16317,NA,NH,1889,1889,9,7,18,32.1,-54.1,70,1,249.75
1889255N15334,NA,NH,1889,1889,9,15,18,31.7,-37.1,50,0,257.75
1889255N16301,NA,NH,1889,1889,9,17,18,19.4,-86.5,95,2,259.75
1889273N11308,NA,NH,1889,1889,10,5,0,31.8,-66.0,60,0,277.0
1889278N20278,NA,NH,1889,1889,10,6,18,33.0,-76.5,50,0,278.75
1890148N21277,NA,NH,1890,1890,5,29,6,24.4,-84.4,50,0,148.25
1890231N14298,NA,NH,1890,1890,8,24,0,18.2,-81.7,50,0,235.0
1890237N13311,NA,NH,1890,1890,8,27,12,19.3,-59.6,105,3,238.5
1890303N12280,NA,NH,1890,1890,10,31,0,14.3,-80.3,80,1,303.0
1891184N22267,NA,NH,1891,1891,7,4,12,24.0,-94.5,80,1,184.5
1891229N11313,NA,NH,1891,1891,8,19,0,14.7,-61.1,110,3,230.0
1891229N13336,NA,NH,1891,1891,8,19,0,14.9,-32.0,65,1,230.0
1891240N13339,NA,NH,1891,1891,9,4,18,23.4,-66.2,85,2,246.75
1891259N20312,NA,NH,1891,1891,9,20,12,29.5,-61.5,85,2,262.5
1891266N14330,NA,NH,1891,1891,10,3,0,28.9,-62.7,85,2,275.0
1891278N15281,NA,NH,1891,1891,10,5,0,17.0,-80.0,45,0,277.0
1891281N18275,NA,NH,1891,1891,10,12,6,34.8,-73.7,55,-4,284.25
1891286N13299,NA,NH,1891,1891,10,16,0,22.4,-65.8,75,1,288.0
1891307N24286,NA,NH,1891,1891,11,4,6,29.1,-66.8,50,0,307.25
1892161N21277,NA,NH,1892,1892,6,12,6,28.9,-75.8,45,0,163.25
1892227N16308,NA,NH,1892,1892,8,19,0,24.9,-67.3,65,1,231.0
1892247N12327,NA,NH,1892,1892,9,7,6,18.1,-49.4,85,2,250.25
1892253N22267,NA,NH,1892,1892,9,10,0,25.6,-94.2,50,0,253.0
1892256N15341,NA,NH,1892,1892,9,14,12,16.9,-27.0,85,2,257.5
1892269N20268,NA,NH,1892,1892,9,26,6,20.8,-94.9,50,0,269.25
1892279N11305,NA,NH,1892,1892,10,8,0,11.6,-67.0,85,2,281.0
1892287N26289,NA,NH,1892,1892,10,14,12,29.0,-67.0,80,1,287.5
1892295N23267,NA,NH,1892,1892,10,22,6,24.2,-90.6,45,0,295.25
1893163N20265,NA,NH,1893,1893,6,17,18,38.3,-72.9,65,1,167.75
1893185N14282,NA,NH,1893,1893,7,5,18,14.7,-82.9,85,2,185.75
1893225N12331,NA,NH,1893,1893,8,22,18,28.4,-70.7,100,3,233.75
1893226N10310,NA,NH,1893,1893,8,18,6,20.9,-70.4,105,3,229.25
1893228N18340,NA,NH,1893,1893,8,23,6,22.4,-61.4,105,3,234.25
1893228N32300,NA,NH,1893,1893,8,17,6,41.9,-62.7,85,2,228.25
1893232N12333,NA,NH,1893,1893,8,23,12,16.1,-35.9,85,2,234.5
1893247N18275,NA,NH,1893,1893,9,6,12,26.4,-93.0,85,2,248.5
1893268N12335,NA,NH,1893,1893,10,2,12,14.0,-50.0,105,3,274.5
1893271N16278,NA,NH,1893,1893,10,2,0,28.4,-90.5,115,4,274.0
1893294N18278,NA,NH,1893,1893,10,22,6,28.8,-77.8,50,0,294.25
1893309N27289,NA,NH,1893,1893,11,8,0,32.5,-75.9,60,0,311.0
1894157N19283,NA,NH,1894,1894,6,6,0,19.0,-77.4,35,0,156.0
1894216N18274,NA,NH,1894,1894,8,6,6,28.3,-87.9,50,0,217.25
1894242N13325,NA,NH,1894,1894,9,6,12,30.1,-58.8,100,3,248.5
1894261N13311,NA,NH,1894,1894,9,21,0,15.3,-62.7,105,3,263.0
1894270N12284,NA,NH,1894,1894,10,6,12,23.7,-87.0,105,3,278.5
1894284N11303,NA,NH,1894,1894,10,16,12,25.0,-66.7,115,4,288.5
1894294N21300,NA,NH,1894,1894,10,28,12,45.8,-45.8,95,2,300.5
1895226N27269,NA,NH,1895,1895,8,15,6,28.6,-90.3,50,0,226.25
1895234N13302,NA,NH,1895,1895,8,29,0,24.5,-93.9,95,2,240.0
1895271N19274,NA,NH,1895,1895,9,30,12,23.7,-88.5,50,0,272.5
1895275N17277,NA,NH,1895,1895,10,2,0,17.4,-82.9,35,0,274.0
1895285N12315,NA,NH,1895,1895,10,17,18,14.1,-71.5,90,2,289.75
1895286N19266,NA,NH,1895,1895,10,13,6,19.4,-93.7,35,0,285.25
1896187N21279,NA,NH,1896,1896,7,6,6,26.3,-85.6,85,2,187.25
1896243N14300,NA,NH,1896,1896,9,5,6,24.5,-77.3,100,3,248.25
1896260N16306,NA,NH,1896,1896,9,20,18,22.1,-67.2,85,2,263.75
1896266N17298,NA,NH,1896,1896,9,28,0,20.6,-84.9,110,3,271.0
1896281N23269,NA,NH,1896,1896,10,11,6,33.5,-74.7,85,2,284.25
1896300N09316,NA,NH,1896,1896,10,29,18,13.4,-55.3,85,2,302.75
1896332N11299,NA,NH,1896,1896,11,28,12,14.0,-62.0,50,0,332.5
1897243N13340,NA,NH,1897,1897,9,3,6,16.9,-37.2,85,2,245.25
1897253N24280,NA,NH,1897,1897,9,11,6,25.4,-83.6,75,1,253.25
1897262N21270,NA,NH,1897,1897,9,21,0,26.3,-82.5,60,0,263.0
1897268N20277,NA,NH,1897,1897,9,27,12,23.0,-85.5,40,0,269.5
1897283N12298,NA,NH,1897,1897,10,18,12,20.6,-80.3,70,1,290.5
1897296N25283,NA,NH,1897,1897,10,25,6,35.9,-73.2,55,0,297.25
1898214N27280,NA,NH,1898,1898,8,3,0,29.8,-84.9,70,1,214.0
1898242N27283,NA,NH,1898,1898,8,30,18,30.9,-79.8,75,1,241.75
1898246N41318,NA,NH,1898,1898,9,3,6,40.8,-42.1,70,1,245.25
1898249N11333,NA,NH,1898,1898,9,11,0,12.5,-58.9,95,2,253.0
1898255N13281,NA,NH,1898,1898,9,12,6,12.9,-79.1,50,0,254.25
1898264N11280,NA,NH,1898,1898,9,20,12,11.0,-79.8,50,0,262.5
1898268N16302,NA,NH,1898,1898,10,2,0,29.6,-78.7,115,4,274.0
1898269N20276,NA,NH,1898,1898,9,27,12,26.5,-78.0,45,0,269.5
1898275N11302,NA,NH,1898,1898,10,11,12,24.5,-80.0,60,0,283.5
1898294N19274,NA,NH,1898,1898,10,22,0,20.6,-84.7,40,0,294.0
1898300N18299,NA,NH,1898,1898,10,27,6,17.9,-61.2,50,0,299.25
1899178N28267,NA,NH,1899,1899,6,26,12,27.5,-93.0,35,0,176.5
1899210N17291,NA,NH,1899,1899,8,1,0,28.3,-84.1,85,2,212.0
1899215N12329,NA,NH,1899,1899,8,7,18,16.5,-62.0,130,4,218.75
1899241N17303,NA,NH,1899,1899,9,3,18,25.7,-69.3,90,2,245.75
1899246N13322,NA,NH,1899,1899,9,9,6,18.9,-63.6,105,3,251.25
