Basin
EP
EP
EP
NA
EP
EP
EP
EP
NA
EP
EP
NA
NA
NA
NA
NA
EP
EP
EP
EP
EP
NA
NA
EP
NA
NA
NA
EP
NA
NA
NA
NA
EP
NA
EP
EP
NA
NA
EP
NA
NA
NA
WP
WP
SI
SI
SP
WP
SP
SP
SP
SP
SP
SI
SP
SP
SP
SP
SI
SP
SI
WP
SP
SP
SP
SI
SI
SI
SI
WP
SI
SI
SI
SI
WP
NI
WP
WP
EP
EP
NA
NI
WP
NA
EP
WP
WP
WP
WP
NA
NA
NA
EP
NA
EP
EP
WP
WP
NA
WP
NA
WP
WP
WP
WP
WP
WP
WP
WP
WP
EP
EP
NA
NA
SI
WP
NA
WP
NA
WP
NA
EP
NA
EP
WP
WP
NA
NI
NA
WP
NI
WP
WP
WP
WP
WP
EP
NA
WP
EP
NA
NA
WP
NI
WP
NA
NI
EP
NI
SI
WP
WP
SP
SP
SP
SP
SP
SP
SP
SP
SP
SP
WP
EP
WP
WP
EP
EP
EP
EP
EP
WP
NA
EP
NA
WP
NA
WP
EP
EP
NA
WP
EP
NA
NA
NA
EP
NA
NA
NA
NA
NA
WP
EP
NA
EP
WP
WP
NA
WP
WP
EP
NA
WP
EP
NA
NA
WP
NA
SP
SP
SP
SP
SP
SP
SP
SP
SI
SP
SP
SP
SP
SI
WP
SP
SP
SI
NA
WP
WP
NA
WP
NA
SI
EP
NA
WP
WP
NA
WP
WP
EP
NA
NA
EP
EP
WP
EP
WP
WP
NA
WP
SI
WP
WP
WP
WP
NA
WP
NA
EP
EP
WP
WP
WP
NA
EP
WP
NA
EP
NA
WP
NA
NA
NA
NA
WP
WP
EP
WP
EP
WP
NA
WP
NA
WP
EP
EP
EP
WP
WP
SI
EP
NI
NA
SI
SI
NA
SI
WP
SI
SI
WP
NA
WP
NI
WP
SP
SI
NI
SI
WP
SP
SP
SP
WP
SI
SI
SI
SP
SI
SP
SP
SI
SI
SP
SI
SI
SI
SI
SI
SI
SP
SI
WP
SI
SI
WP
WP
SP
SP
SI
NI
SP
WP
EP
NI
EP
NA
EP
EP
EP
WP
NA
WP
WP
EP
EP
SI
EP
WP
EP
EP
EP
EP
WP
WP
EP
EP
EP
WP
EP
WP
EP
EP
WP
WP
WP
NA
EP
EP
WP
WP
WP
WP
NA
NA
EP
EP
WP
WP
NA
EP
EP
WP
EP
EP
NA
WP
EP
NA
WP
WP
WP
WP
EP
NI
WP
NI
WP
EP
SI
SP
NI
SP
EP
WP
SI
WP
SP
SI
SI
SI
SI
SP
SP
SP
SP
SI
SP
SP
SP
SP
SI
SP
SP
SP
SP
SP
SP
SI
SP
SP
SI
SI
EP
EP
WP
SI
EP
WP
EP
WP
SI
EP
EP
WP
NA
EP
EP
NA
WP
EP
WP
EP
NI
WP
WP
NA
WP
NA
EP
WP
WP
EP
EP
EP
NA
EP
WP
EP
NA
EP
WP
EP
WP
NI
WP
WP
WP
EP
WP
EP
EP
WP
SI
WP
WP
EP
NI
WP
SI
SI
WP
WP
WP
SI
WP
SI
WP
WP
WP
EP
SI
SP
WP
SP
WP
SI
SI
SI
SP
SI
SI
SP
SI
SI
SI
SI
SP
SI
SI
SP
SI
SI
SI
SI
SI
SI
SI
SP
SP
SI
SI
SP
SI
SP
SP
SP
SP
SI
SP
SI
EP
EP
WP
NA
EP
WP
NA
EP
EP
WP
WP
WP
EP
EP
WP
NA
WP
EP
WP
WP
EP
WP
NA
WP
WP
WP
WP
EP
EP
EP
NA
WP
WP
EP
WP
WP
EP
NA
NA
NA
EP
EP
NA
NA
WP
NA
EP
NA
NA
EP
WP
NA
EP
WP
WP
NA
WP
WP
NA
EP
WP
WP
WP
NI
WP
WP
WP
WP
WP
WP
WP
NA
WP
EP
NA
WP
NI
SI
WP
SI
NA
NI
WP
SI
WP
SI
SP
NA
SI
SP
SP
SP
WP
WP
WP
WP
SI
SP
SI
SP
WP
SP
SP
SP
SI
SP
SI
SP
SI
SI
SI
SI
SI
SI
SI
SP
SI
SP
SI
SP
SI
SP
SP
SP
SI
SI
SI
WP
WP
NI
NI
EP
EP
EP
WP
WP
WP
WP
EP
EP
WP
WP
EP
EP
NA
WP
EP
EP
EP
NA
EP
EP
WP
EP
WP
WP
NA
NA
WP
WP
WP
WP
EP
EP
EP
WP
WP
WP
WP
EP
NA
EP
WP
EP
NA
NA
WP
EP
NA
WP
NA
EP
NA
SI
WP
WP
WP
EP
NA
WP
NI
WP
WP
WP
NI
WP
WP
EP
EP
NA
NI
NA
WP
SI
NA
NI
SP
WP
WP
SI
SI
NI
SI
SI
SI
SI
SI
SI
SI
SI
SI
SI
SP
SP
WP
WP
SI
SI
SP
SP
SP
SP
SI
SI
SI
SI
SI
SP
SI
SP
SP
SP
SI
SI
SI
SI
WP
SI
SP
SI
SP
SP
WP
SI
SI
SI
WP
SP
WP
EP
NA
WP
EP
WP
WP
NA
EP
WP
WP
EP
WP
WP
EP
WP
NA
EP
WP
EP
WP
EP
SI
WP
WP
NA
WP
WP
WP
NA
WP
WP
EP
WP
EP
EP
WP
EP
NA
NA
NA
WP
NA
EP
WP
EP
EP
EP
WP
EP
WP
WP
WP
WP
EP
WP
NI
WP
NI
NI
WP
NA
SP
WP
WP
WP
WP
WP
SP
WP
SP
SP
SI
SI
WP
SI
SP
SI
SI
SP
NI
SI
SP
SP
SP
SI
SP
SP
SI
SP
SI
SP
SP
SP
SI
SP
WP
SI
SI
SP
SI
SP
NA
NI
NI
EP
WP
WP
WP
SI
EP
EP
WP
WP
WP
EP
WP
WP
EP
EP
EP
EP
EP
WP
WP
NA
NA
WP
NA
EP
NA
WP
WP
WP
EP
EP
EP
NA
WP
WP
WP
WP
NA
NA
NA
NA
EP
NA
EP
EP
NA
WP
WP
WP
WP
EP
EP
WP
NA
NI
WP
EP
NI
SI
NA
WP
NI
WP
WP
SI
NI
SI
WP
NI
SP
SI
SP
SP
WP
SP
SI
SI
SI
SI
SI
SI
SP
SI
SP
SP
SI
SI
SI
SI
SP
SP
SI
SI
WP
NA
WP
NI
EP
EP
WP
EP
WP
EP
WP
EP
WP
EP
WP
EP
WP
EP
EP
EP
EP
WP
WP
EP
WP
WP
NA
WP
NA
WP
