SID,SEASON,BASIN,ISO_TIME,LAT,LON,USA_WIND,USA_SSHS
2011270N18139,2011,WP,2011-09-26 12:00:00,18.1,139.2,20.0,-1
2011270N18139,2011,WP,2011-09-26 15:00:00,18.3,138.9,20.0,-1
2011270N18139,2011,WP,2011-09-26 18:00:00,18.4,138.6,20.0,-1
2011270N18139,2011,WP,2011-09-26 21:00:00,18.6,138.3,23.0,-1
2011270N18139,2011,WP,2011-09-27 00:00:00,18.7,138.0,25.0,-1
2011270N18139,2011,WP,2011-09-27 03:00:00,18.8,137.8,28.0,-1
2011270N18139,2011,WP,2011-09-27 06:00:00,18.9,137.7,30.0,-1
2011270N18139,2011,WP,2011-09-27 09:00:00,18.9,137.5,30.0,-1
2011270N18139,2011,WP,2011-09-27 12:00:00,18.9,137.4,30.0,-1
2011270N18139,2011,WP,2011-09-27 15:00:00,19.0,137.3,33.0,-1
2011270N18139,2011,WP,2011-09-27 18:00:00,19.0,137.1,35.0,0
2011270N18139,2011,WP,2011-09-27 21:00:00,19.1,137.0,38.0,0
2011270N18139,2011,WP,2011-09-28 00:00:00,19.1,136.8,40.0,0
2011270N18139,2011,WP,2011-09-28 03:00:00,19.1,136.5,43.0,0
2011270N18139,2011,WP,2011-09-28 06:00:00,19.1,136.3,45.0,0
2011270N18139,2011,WP,2011-09-28 09:00:00,18.9,136.0,48.0,0
2011270N18139,2011,WP,2011-09-28 12:00:00,18.8,135.8,50.0,0
2011270N18139,2011,WP,2011-09-28 15:00:00,18.6,135.5,53.0,0
2011270N18139,2011,WP,2011-09-28 18:00:00,18.4,135.1,55.0,0
2011270N18139,2011,WP,2011-09-28 21:00:00,18.3,134.7,60.0,0
2011270N18139,2011,WP,2011-09-29 00:00:00,18.1,134.2,65.0,1
2011270N18139,2011,WP,2011-09-29 03:00:00,18.0,133.7,65.0,1
2011270N18139,2011,WP,2011-09-29 06:00:00,17.9,133.1,65.0,1
2011270N18139,2011,WP,2011-09-29 09:00:00,17.8,132.4,70.0,1
2011270N18139,2011,WP,2011-09-29 12:00:00,17.8,131.8,75.0,1
2011270N18139,2011,WP,2011-09-29 15:00:00,17.7,131.1,78.0,1
2011270N18139,2011,WP,2011-09-29 18:00:00,17.7,130.4,80.0,1
2011270N18139,2011,WP,2011-09-29 21:00:00,17.7,129.6,85.0,2
2011270N18139,2011,WP,2011-09-30 00:00:00,17.8,128.9,90.0,2
2011270N18139,2011,WP,2011-09-30 03:00:00,17.8,128.2,95.0,2
2011270N18139,2011,WP,2011-09-30 06:00:00,17.8,127.4,100.0,3
2011270N18139,2011,WP,2011-09-30 09:00:00,17.7,126.6,108.0,3
2011270N18139,2011,WP,2011-09-30 12:00:00,17.6,125.7,115.0,4
2011270N18139,2011,WP,2011-09-30 15:00:00,17.3,124.9,115.0,4
2011270N18139,2011,WP,2011-09-30 18:00:00,17.0,124.1,115.0,4
2011270N18139,2011,WP,2011-09-30 21:00:00,16.9,123.4,123.0,4
2011270N18139,2011,WP,2011-10-01 00:00:00,16.8,122.7,130.0,4
