SID,SEASON,BASIN,ISO_TIME,LAT,LON,USA_WIND,USA_SSHS
2011270N18139,2011,WP,2011-10-01 03:00:00,16.7,121.9,115.0,4
2011270N18139,2011,WP,2011-10-01 06:00:00,16.6,121.1,100.0,3
2011270N18139,2011,WP,2011-10-01 09:00:00,16.5,120.2,90.0,2
2011270N18139,2011,WP,2011-10-01 12:00:00,16.4,119.5,80.0,1
2011270N18139,2011,WP,2011-10-01 15:00:00,16.4,119.1,73.0,1
2011270N18139,2011,WP,2011-10-01 18:00:00,16.5,118.8,65.0,1
2011270N18139,2011,WP,2011-10-01 21:00:00,16.5,118.4,60.0,0
2011270N18139,2011,WP,2011-10-02 00:00:00,16.7,118.0,55.0,0
2011270N18139,2011,WP,2011-10-02 03:00:00,16.8,117.5,53.0,0
2011270N18139,2011,WP,2011-10-02 06:00:00,16.9,117.0,50.0,0
2011270N18139,2011,WP,2011-10-02 09:00:00,17.1,116.4,50.0,0
2011270N18139,2011,WP,2011-10-02 12:00:00,17.2,116.0,50.0,0
2011270N18139,2011,WP,2011-10-02 15:00:00,17.4,115.5,50.0,0
2011270N18139,2011,WP,2011-10-02 18:00:00,17.5,115.2,50.0,0
2011270N18139,2011,WP,2011-10-02 21:00:00,17.6,114.7,50.0,0
2011270N18139,2011,WP,2011-10-03 00:00:00,17.7,114.4,50.0,0
2011270N18139,2011,WP,2011-10-03 03:00:00,17.7,114.0,50.0,0
2011270N18139,2011,WP,2011-10-03 06:00:00,17.8,113.7,50.0,0
2011270N18139,2011,WP,2011-10-03 09:00:00,17.7,113.4,48.0,0
2011270N18139,2011,WP,2011-10-03 12:00:00,17.8,113.0,45.0,0
2011270N18139,2011,WP,2011-10-03 15:00:00,17.8,112.6,45.0,0
2011270N18139,2011,WP,2011-10-03 18:00:00,17.9,112.1,45.0,0
2011270N18139,2011,WP,2011-10-03 21:00:00,18.0,111.6,43.0,0
2011270N18139,2011,WP,2011-10-04 00:00:00,18.2,111.1,40.0,0
2011270N18139,2011,WP,2011-10-04 03:00:00,18.5,110.5,38.0,0
2011270N18139,2011,WP,2011-10-04 06:00:00,18.7,110.0,35.0,0
2011270N18139,2011,WP,2011-10-04 09:00:00,18.7,109.4,33.0,-1
2011270N18139,2011,WP,2011-10-04 12:00:00,18.6,108.9,30.0,-1
2011270N18139,2011,WP,2011-10-04 15:00:00,18.5,108.7,30.0,-1
2011270N18139,2011,WP,2011-10-04 18:00:00,18.4,108.5,30.0,-1
2011270N18139,2011,WP,2011-10-04 21:00:00,18.3,108.4,30.0,-1
2011270N18139,2011,WP,2011-10-05 00:00:00,18.2,108.2,30.0,-1
2011270N18139,2011,WP,2011-10-05 03:00:00,18.1,108.1,25.0,-1
2011270N18139,2011,WP,2011-10-05 06:00:00,18.0,107.9,20.0,-3
2011270N18139,2011,WP,2011-10-05 09:00:00,18.0,107.7,,-3
2011270N18139,2011,WP,2011-10-05 12:00:00,18.0,107.5,,-5
